ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,consent,instr_gen,instr_purp,instr_art,Headache,head_time_1,head_time_2,head_time_3,head_time_4,head_q1,head_q2,head_q3,head_check,Nuclear,nuc_time_1,nuc_time_2,nuc_time_3,nuc_time_4,nuc_q1,nuc_q2,nuc_q3,nuc_check,Scanners,scan_time_1,scan_time_2,scan_time_3,scan_time_4,scan_q1,scan_q2,scan_q3,scan_check,TMS,tms_time_1,tms_time_2,tms_time_3,tms_time_4,tms_q1,tms_q2,tms_q3,tms_check,instr_scen,Scenario,sentence,blame_1,free_will_1,free_will_2,free_will_3,free_will_4,free_will_5,free_will_6,free_will_7,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,instr_dem,gender,age,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,education_1,relig_1,Q26,politics_1,politics_2,politics_3,susp_open,susp_rel_1,instr_debr,LocationLatitude,LocationLongitude,LocationAccuracy
R_7X0nkZsn2jcNSHX,Default Response Set,Anonymous,,,153.104.8.189,0,3/11/15 9:46,3/11/15 9:56,1,1,1,1,1,1,0,0,34.569,0,4,5,1,2,1,0,0,76.624,0,4,4,2,2,,,,,,,,,,,,,,,,,,,1,1,7,7,5,5,4,5,5,5,4,4,1,3,2,5,1,1,1,3,5,1,4,1,3,1,5,4,1,3,1,1,2,41,1,,,,,,,,9,1,3,3,3,4,The first was about people's ability to understand scientific issues as presented to the general public and the second was people's feelings about culpability for criminal actions (?),1,1,40.03689575,-75.34860229,-1
R_3dMxbGbjU57aFEN,Default Response Set,Anonymous,,,98.215.43.12,0,3/11/15 9:51,3/11/15 9:57,1,1,1,1,1,1,6.371,62.773,64.549,2,5,5,1,2,1,6.989,52.463,54.281,2,1,2,3,2,,,,,,,,,,,,,,,,,,,1,1,1,2,5,5,5,5,5,5,5,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,1,2,46,1,,,,,,,,7,5,1,3,3,1,I have no idea,5,1,40.52819824,-88.98010254,-1
R_2hKYQhkvethlRrL,Default Response Set,Anonymous,,,174.97.32.208,0,3/11/15 9:50,3/11/15 9:57,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,77.675,0,5,5,2,2,1,0,0,42.352,0,4,4,2,2,1,1,5,7,4,5,5,5,5,4,5,5,1,2,1,3,1,1,1,3,4,1,5,1,2,1,3,5,1,2,1,1,2,35,1,,,,,,,,3,2,2,2,2,2,how interested i was,4,1,33.97920227,-81.2589035,-1
R_6L0SxjtRUZeH9E5,Default Response Set,Anonymous,,,67.234.85.222,0,3/11/15 9:53,3/11/15 9:58,1,1,1,1,1,1,0,0,41.649,0,2,3,2,3,1,0,0,33.794,0,1,2,3,2,,,,,,,,,,,,,,,,,,,1,1,4,5,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,21,1,,,,,,,,3,1,2,1,1,1,I'm not sure,1,1,39.79679871,-76.99299622,-1
R_OB7vmif6lSw4XF7,Default Response Set,Anonymous,,,184.63.91.240,0,3/11/15 9:52,3/11/15 9:59,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,23.022,23.022,36.45,1,2,2,1,2,1,15.661,15.661,36.878,1,2,1,1,2,1,1,2,7,4,5,4,4,4,4,4,4,1,3,1,4,1,1,1,4,5,1,5,1,5,1,5,5,1,5,1,1,1,29,1,,,,,,,,5,3,2,6,4,6,It was interesting,2,1,32.51570129,-95.40940094,-1
R_2drPrJi4ZJB0bt0,Default Response Set,Anonymous,,,23.255.181.151,0,3/11/15 9:53,3/11/15 10:00,1,1,1,1,1,1,0,0,69.193,0,4,5,1,2,1,0,0,65.712,0,2,3,1,2,,,,,,,,,,,,,,,,,,,1,1,7,7,5,5,5,5,4,5,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,4,1,1,1,1,2,32,1,,,,,,,,2,1,2,2,2,2,if green energy is better than nuclear and feasible for one. The other was about getting away from popping pills all the time and turning to natural remedies.,1,1,39.11019897,-94.68990326,-1
R_VQBsQwkk9P0Bsxr,Default Response Set,Anonymous,,,204.94.39.11,0,3/11/15 9:54,3/11/15 10:01,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,99.696,0,5,5,1,2,1,0,0,64.25,0,5,5,1,2,1,1,3,7,4,4,3,4,4,3,1,5,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,4,3,3,1,1,2,29,1,,,,,,,,4,1,2,3,2,5,Whether reading the articles about brain activity and manipulation effected our opinions on how long the gentleman's prison sentence was. ,5,1,40.46609497,-88.90339661,-1
R_tVrTZuRDk8LuXQZ,Default Response Set,Anonymous,,,24.255.13.15,0,3/11/15 9:50,3/11/15 10:04,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,6.68,6.68,175.483,1,5,3,1,2,1,4.637,4.637,157.957,1,5,4,1,2,1,1,5,6,4,4,4,4,4,4,4,5,2,2,2,2,1,1,1,4,3,1,5,1,4,1,5,5,1,3,1,1,2,57,1,,,,,,,,5,1,1,5,5,5,brain action related to body action,4,1,33.44650269,-111.7685013,-1
R_32Se6w7cR71NE9G,Default Response Set,Anonymous,,,76.236.92.146,0,3/11/15 9:50,3/11/15 10:05,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,217.165,0,5,3,1,2,1,162.78,194.651,195.992,3,4,2,2,2,1,1,2,7,4,5,5,5,4,4,5,5,1,4,1,5,1,1,1,4,5,1,5,1,3,1,5,5,1,5,1,1,1,30,,1,,,,,,,5,2,1,4,2,2,Brain reading. And reprogramming the brain,4,1,41.6499939,-83.67410278,-1
R_9toeALi0VVZTwTT,Default Response Set,Anonymous,,,107.4.66.188,0,3/11/15 10:00,3/11/15 10:06,1,1,1,1,1,1,0,0,2.11,0,2,3,1,2,1,0.801,0.801,5.676,1,3,3,2,3,,,,,,,,,,,,,,,,,,,1,1,7,7,4,4,4,4,4,4,4,3,1,2,1,3,1,1,1,2,2,1,3,1,2,1,2,3,1,3,1,1,1,29,1,,,,,,,,5,1,1,3,3,3,Uncertain.,3,1,41.91149902,-83.46510315,-1
R_0IIvsNvaReTwIDL,Default Response Set,Anonymous,,,68.241.54.75,0,3/11/15 9:53,3/11/15 10:06,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,4.662,88.128,107.389,2,5,4,1,2,1,42.558,42.558,93.966,1,5,4,2,2,1,1,2,6,3,4,4,4,2,3,4,4,1,1,1,3,1,1,1,3,2,1,4,1,1,1,4,4,1,3,1,1,2,67,1,,,,,,,,3,1,1,6,3,7,"Believability of science articles, and culpability in a criminal case involving death",2,1,38,-97,-1
R_2UXjDw3w52u7X29,Default Response Set,Anonymous,,,129.7.0.30,0,3/11/15 10:01,3/11/15 10:06,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,57.785,67.304,68.766,2,3,3,1,2,1,2.83,2.83,10.843,1,4,3,1,2,1,1,3,4,3,2,4,2,3,2,3,2,1,1,1,3,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,1,28,1,,,,,,,,8,4,3,4,2,3,none..........,3,1,29.83399963,-95.43419647,-1
R_3PIfOxaygN1A2uu,Default Response Set,Anonymous,,,66.56.230.168,0,3/11/15 10:01,3/11/15 10:08,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,37.455,0,2,4,1,2,1,0,0,67.867,0,3,3,2,2,1,1,7,7,5,5,3,5,5,4,4,4,1,3,1,2,1,1,1,3,3,1,5,1,3,1,3,3,3,3,1,1,2,41,1,,1,,,,,,2,1,3,6,6,6,"To see how I feel about something after reading the article, and or jury story.",1,1,34.24319458,-78.09960175,-1
R_3DbfwM7iwdbd5zl,Default Response Set,Anonymous,,,75.177.129.69,0,3/11/15 9:58,3/11/15 10:09,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,16.674,0,5,4,1,2,1,0,0,398.909,0,4,2,1,1,1,1,1,5,4,4,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,2,24,1,,,,,,,,7,1,3,2,1,2,How we make decisions.,1,1,35.80589294,-78.79969788,-1
R_6MxnJXHWQEuQ2Fv,Default Response Set,Anonymous,,,23.242.68.244,0,3/11/15 10:01,3/11/15 10:10,1,1,1,1,1,1,0,0,130.959,0,2,3,2,2,1,42.118,42.118,53.698,1,4,4,1,2,,,,,,,,,,,,,,,,,,,1,1,3,6,5,5,5,5,5,5,5,4,2,3,2,2,2,2,2,2,2,4,5,1,2,3,4,5,4,4,2,1,1,25,1,,,,,,,,4,1,2,4,4,4,What was my interpretation of the articles and how does that apply to my mood?,2,1,34.02560425,-118.4716034,-1
R_z0bZKJos7CjFggV,Default Response Set,Anonymous,,,107.210.80.173,0,3/11/15 9:57,3/11/15 10:11,1,1,1,1,1,1,0,0,147.523,0,5,5,1,2,1,0,0,137.47,0,5,5,1,2,,,,,,,,,,,,,,,,,,,1,1,5,7,4,4,4,4,4,4,4,5,1,1,1,4,1,1,1,4,4,1,5,1,3,1,5,5,1,5,1,1,1,63,1,,,,,,,,9,2,2,2,2,4,something related to whether we feel that people can ever be rehabilitated and safe in society after commiting violent crimes,4,1,34.80380249,-86.61889648,-1
R_1rJQ9ZKVEUWCX4J,Default Response Set,Anonymous,,,75.68.119.60,0,3/11/15 10:11,3/11/15 10:16,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,73.889,73.889,74.254,1,1,2,2,2,1,0,0,69.216,0,1,2,2,2,1,1,5,7,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,29,1,,,,,,,,1,1,1,4,4,4,I am unsure,4,1,42.82569885,-71.67369843,-1
R_1GWDxOfyrranabN,Default Response Set,Anonymous,,,79.108.255.248,0,3/11/15 10:01,3/11/15 10:20,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,208.452,208.452,210.378,1,4,4,2,2,1,0,0,135.281,0,3,4,1,2,1,1,5,7,3,4,3,4,4,4,3,3,1,2,1,2,1,1,1,3,2,2,4,1,2,1,4,4,2,2,1,1,2,37,,,1,,,,,,7,3,3,6,6,6,"Brain can function on it's own , most of the time we follow the impulse that is sent by our brain.  The person should be responsible for his/her actions.",4,1,39.46980286,-0.37739563,-1
R_DBnSeaZvErCfdoR,Default Response Set,Anonymous,,,74.69.233.39,0,3/11/15 10:17,3/11/15 10:22,1,1,1,1,1,1,0,0,10.028,0,5,5,1,2,1,0.162,0.162,47.334,1,3,2,2,2,,,,,,,,,,,,,,,,,,,1,1,2,7,4,4,4,5,4,4,4,4,2,1,2,2,1,1,1,1,1,1,3,1,1,2,5,4,1,3,1,1,2,35,1,,,,,,,,4,1,1,3,3,3,I am not sure,3,1,42.9703064,-72.27999878,-1
R_RXqu71LqxFURIeR,Default Response Set,Anonymous,,,100.11.118.136,0,3/11/15 10:16,3/11/15 10:25,1,1,1,1,1,1,0,0,87.493,0,4,4,1,2,1,0,0,78.16,0,3,4,1,2,,,,,,,,,,,,,,,,,,,1,1,1,6,4,4,3,4,4,4,3,3,1,1,1,2,1,1,1,2,2,1,3,1,2,1,3,3,1,2,1,1,1,30,1,,,,,,,,7,1,1,1,1,2,Whether people's interest in the subject an article causes them to be more attentive.  And how people's beliefs about free will affect their judgement of crime.,3,1,40.22619629,-75.29309845,-1
